"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.475" 1 1 1
"z.476" 1 1 1
"z.477" 4 4 4
"z.478" 1 1 1
"z.479" 7 7 7
"z.480" 4 4 4
"z.481" 6 6 6
"z.482" 1 1 1
"z.483" 3 3 3
"z.484" 1 1 1
"z.485" 1 1 1
"z.486" 6 6 6
"z.487" 3 3 3
"z.488" 5 5 5
"z.489" 1 1 1
"z.490" 3 3 3
"z.491" 3 3 3
"z.492" 5 5 5
"z.493" 7 7 7
"z.494" 3 3 3
"z.495" 6 6 6
"z.496" 4 4 4
"z.497" 3 3 3
"z.498" 6 6 6
"z.499" 7 7 7
"z.500" 5 5 5
"z.501" 7 7 7
"z.502" 3 3 3
"z.503" 5 5 5
"z.504" 7 7 7
"z.505" 3 3 3
"z.506" 5 5 5
"z.507" 7 7 7
"z.508" 3 3 3
"z.509" 8 8 8
"z.510" 3 3 3
"z.511" 8 8 8
"z.512" 6 6 6
"z.513" 1 1 1
"z.514" 5 5 5
"z.515" 6 6 6
"z.516" 7 7 7
"z.517" 9 9 9
"z.518" 1 1 1
"z.519" 9 9 9
"z.520" 8 8 8
"z.521" 9 9 9
"z.522" 9 9 9
"z.523" 1 1 1
"z.524" 6 6 6
"z.525" 7 7 7
"z.526" 6 6 6
"z.527" 3 3 3
"z.528" 5 5 5
"z.529" 5 5 5
"z.530" 7 7 7
"z.531" 9 9 9
"z.532" 9 9 9
"z.533" 5 5 5
"z.534" 9 9 9
"z.535" 2 2 2
"z.536" 9 9 9
"z.537" 6 6 6
"z.538" 5 5 5
"z.539" 4 4 4
"z.540" 3 3 3
"z.541" 4 4 4
"z.542" 5 5 5
"z.543" 3 3 3
"z.544" 7 7 7
"z.545" 3 3 3
"z.546" 7 7 7
"z.547" 6 6 6
"z.548" 3 3 3
"z.549" 3 3 3
"z.550" 3 3 3
"z.551" 1 1 1
"z.552" 4 4 4
"z.553" 1 1 1
"z.554" 1 1 1
"z.555" 2 2 2
"z.556" 4 4 4
"z.557" 1 1 1
"z.558" 1 1 1
"z.559" 1 1 1
"z.560" 1 1 1
"z.561" 1 1 1
"z.562" 1 1 1
"z.563" 1 1 1
"z.564" 2 2 2
"z.565" 1 1 1
"z.566" 1 1 1
"z.567" 1 1 1
"z.568" 1 1 1
"z.569" 1 1 1
"z.570" 1 1 1
"z.571" 4 4 4
"z.572" 1 1 1
"z.573" 5 5 5
"z.574" 5 5 5
"z.575" 7 7 7
"z.576" 3 3 3
"z.577" 8 8 8
"z.578" 6 6 6
"z.579" 8 8 8
"z.580" 3 3 3
"z.581" 3 3 3
"z.582" 7 7 7
"z.583" 8 8 8
"z.584" 6 6 6
"z.585" 7 7 7
"z.586" 8 8 8
"z.587" 3 3 3
"z.588" 3 3 3
"z.589" 3 3 3
"z.590" 3 3 3
"z.591" 3 3 3
"z.592" 7 7 7
"z.593" 8 8 8
"z.594" 8 8 8
"z.595" 7 7 7
"z.596" 5 5 5
"z.597" 7 7 7
"z.598" 7 7 7
"z.599" 7 7 7
"z.600" 5 5 5
"z.601" 7 7 7
"z.602" 5 5 5
"z.603" 7 7 7
"z.604" 7 7 7
"z.605" 7 7 7
"z.606" 7 7 7
"z.607" 7 7 7
"z.608" 7 7 7
"z.609" 7 7 7
"z.610" 9 9 9
"z.611" 9 9 9
"z.612" 1 1 1
"z.613" 7 7 7
"z.614" 9 9 9
"z.615" 9 9 9
"z.616" 7 7 7
"z.617" 5 5 5
"z.618" 4 4 4
"z.619" 8 8 8
"z.620" 7 7 7
"z.621" 7 7 7
"z.622" 7 7 7
"z.623" 9 9 9
"z.624" 7 7 7
"z.625" 7 7 7
"z.626" 7 7 7
"z.627" 3 3 3
"z.628" 5 5 5
"z.629" 7 7 7
"z.630" 7 7 7
"z.631" 5 5 5
"z.632" 5 5 5
"z.633" 7 7 7
"z.634" 3 3 3
"z.635" 7 7 7
"z.636" 7 7 7
"z.637" 9 9 9
"z.638" 7 7 7
"z.639" 9 9 9
"z.640" 7 7 7
"z.641" 9 9 9
"z.642" 1 1 1
"z.643" 9 9 9
"z.644" 5 5 5
"z.645" 4 4 4
"z.646" 9 9 9
